0	1	0	100	0	15	-5	1.01	40
1	4	0	100	0	300	-300	1.01	40
2	6	0	100	0	50	-13	1.01	40
3	8	0	100	0	300	-300	1.01	40
4	10	450	550	0	200	-147	1.01	20
5	12	85	185	0	120	-35	1.01	20
6	15	0	100	0	30	-10	1.01	40
7	18	0	100	0	50	-16	1.01	40
8	19	0	100	0	24	-8	1.01	40
9	24	0	100	0	300	-300	1.01	40
10	25	220	320	0	140	-47	1.01	20
11	26	314	414	0	1000	-1000	1.01	20
12	27	0	100	0	300	-300	1.01	40
13	31	7	107	0	300	-300	1.01	20
14	32	0	100	0	42	-14	1.01	40
15	34	0	100	0	24	-8	1.01	40
16	36	0	100	0	24	-8	1.01	40
17	40	0	100	0	300	-300	1.01	40
18	42	0	100	0	300	-300	1.01	40
19	46	19	119	0	100	-100	1.01	20
20	49	204	304	0	210	-85	1.01	20
21	54	48	148	0	300	-300	1.01	20
22	55	0	100	0	23	-8	1.01	40
23	56	0	100	0	15	-8	1.01	40
24	59	155	255	0	180	-60	1.01	20
25	61	160	260	0	300	-100	1.01	20
26	62	0	100	0	20	-20	1.01	40
27	65	391	491	0	200	-67	1.01	20
28	66	392	492	0	200	-67	1.01	20
29	69	516.4	805.2	0	300	-300	1.01	20
30	70	0	100	0	32	-10	1.01	40
31	72	0	100	0	100	-100	1.01	40
32	73	0	100	0	100	-100	1.01	40
33	74	0	100	0	9	-6	1.01	40
34	76	0	100	0	23	-8	1.01	40
35	77	0	100	0	70	-20	1.01	40
36	80	477	577	0	280	-165	1.01	20
37	85	0	100	0	23	-8	1.01	40
38	87	4	104	0	1000	-100	1.01	20
39	89	607	707	0	300	-210	1.01	20
40	90	0	100	0	300	-300	1.01	40
41	91	0	100	0	100	-100	1.01	40
42	92	0	100	0	9	-3	1.01	40
43	99	0	100	0	100	-100	1.01	40
44	100	252	352	0	155	-50	1.01	20
45	103	40	140	0	40	-15	1.01	20
46	104	0	100	0	23	-8	1.01	40
47	105	0	100	0	23	-8	1.01	40
48	107	0	100	0	200	-200	1.01	40
49	110	0	100	0	23	-8	1.01	40
50	111	36	136	0	1000	-100	1.01	20
51	112	0	100	0	1000	-100	1.01	40
52	113	0	100	0	200	-100	1.01	40
53	116	0	100	0	1000	-1000	1.01	40
