1	51	27
2	20	9
3	39	10
4	39	12
5	0	0
6	52	22
7	19	2
8	28	0
9	0	0
10	0	0
11	70	23
12	47	10
13	34	16
14	14	1
15	90	30
16	25	10
17	11	3
18	60	34
19	45	25
20	18	3
21	14	8
22	10	5
23	7	3
24	13	0
25	0	0
26	0	0
27	71	13
28	17	7
29	24	4
30	0	0
31	43	27
32	59	23
33	23	9
34	59	26
35	33	9
36	31	17
37	0	0
38	0	0
39	27	11
40	66	23
41	37	10
42	96	23
43	18	7
44	16	8
45	53	22
46	28	10
47	34	0
48	20	11
49	87	30
50	17	4
51	17	8
52	18	5
53	23	11
54	113	32
55	63	22
56	84	18
57	12	3
58	12	3
59	277	113
60	78	3
61	0	0
62	77	14
63	0	0
64	0	0
65	0	0
66	39	18
67	28	7
68	0	0
69	0	0
70	66	20
71	0	0
72	12	0
73	6	0
74	68	27
75	47	11
76	68	36
77	61	28
78	71	26
79	39	32
80	130	26
81	0	0
82	54	27
83	20	10
84	11	7
85	24	15
86	21	10
87	0	0
88	48	10
89	0	0
90	163	42
91	10	0
92	65	10
93	12	7
94	30	16
95	42	31
96	38	15
97	15	9
98	34	8
99	42	0
100	37	18
101	22	15
102	5	3
103	23	16
104	38	25
105	31	26
106	43	16
107	50	12
108	2	1
109	8	3
110	39	30
111	0	0
112	68	13
113	6	0
114	8	3
115	22	7
116	184	0
117	20	8
118	33	15
