1	2	0.0303	0.0999	10000
1	3	0.0129	0.0424	10000
4	5	0.00176	0.00798	10000
3	5	0.0241	0.108	10000
5	6	0.0119	0.054	10000
6	7	0.00459	0.0208	10000
8	9	0.00244	0.0305	10000
8	5	0	0.0267	10000
9	10	0.00258	0.0322	10000
4	11	0.0209	0.0688	10000
5	11	0.0203	0.0682	10000
11	12	0.00595	0.0196	10000
2	12	0.0187	0.0616	10000
3	12	0.0484	0.16	10000
7	12	0.00862	0.034	10000
11	13	0.02225	0.0731	10000
12	14	0.0215	0.0707	10000
13	15	0.0744	0.2444	10000
14	15	0.0595	0.195	10000
12	16	0.0212	0.0834	10000
15	17	0.0132	0.0437	10000
16	17	0.0454	0.1801	10000
17	18	0.0123	0.0505	10000
18	19	0.01119	0.0493	10000
19	20	0.0252	0.117	10000
15	19	0.012	0.0394	10000
20	21	0.0183	0.0849	10000
21	22	0.0209	0.097	10000
22	23	0.0342	0.159	10000
23	24	0.0135	0.0492	10000
23	25	0.0156	0.08	10000
26	25	0	0.0382	10000
25	27	0.0318	0.163	10000
27	28	0.01913	0.0855	10000
28	29	0.0237	0.0943	10000
30	17	0	0.0388	10000
8	30	0.00431	0.0504	10000
26	30	0.00799	0.086	10000
17	31	0.0474	0.1563	10000
29	31	0.0108	0.0331	10000
23	32	0.0317	0.1153	10000
31	32	0.0298	0.0985	10000
27	32	0.0229	0.0755	10000
15	33	0.038	0.1244	10000
19	34	0.0752	0.247	10000
35	36	0.00224	0.0102	10000
35	37	0.011	0.0497	10000
33	37	0.0415	0.142	10000
34	36	0.00871	0.0268	10000
34	37	0.00256	0.0094	10000
38	37	0	0.0375	10000
37	39	0.0321	0.106	10000
37	40	0.0593	0.168	10000
30	38	0.00464	0.054	10000
39	40	0.0184	0.0605	10000
40	41	0.0145	0.0487	10000
40	42	0.0555	0.183	10000
41	42	0.041	0.135	10000
43	44	0.0608	0.2454	10000
34	43	0.0413	0.1681	10000
44	45	0.0224	0.0901	10000
45	46	0.04	0.1356	10000
46	47	0.038	0.127	10000
46	48	0.0601	0.189	10000
47	49	0.0191	0.0625	10000
42	49	0.0715	0.323	10000
42	49	0.0715	0.323	10000
45	49	0.0684	0.186	10000
48	49	0.0179	0.0505	10000
49	50	0.0267	0.0752	10000
49	51	0.0486	0.137	10000
51	52	0.0203	0.0588	10000
52	53	0.0405	0.1635	10000
53	54	0.0263	0.122	10000
49	54	0.073	0.289	10000
49	54	0.0869	0.291	10000
54	55	0.0169	0.0707	10000
54	56	0.00275	0.00955	10000
55	56	0.00488	0.0151	10000
56	57	0.0343	0.0966	10000
50	57	0.0474	0.134	10000
56	58	0.0343	0.0966	10000
51	58	0.0255	0.0719	10000
54	59	0.0503	0.2293	10000
56	59	0.0825	0.251	10000
56	59	0.0803	0.239	10000
55	59	0.04739	0.2158	10000
59	60	0.0317	0.145	10000
59	61	0.0328	0.15	10000
60	61	0.00264	0.0135	10000
60	62	0.0123	0.0561	10000
61	62	0.00824	0.0376	10000
63	59	0	0.0386	10000
63	64	0.00172	0.02	10000
64	61	0	0.0268	10000
38	65	0.00901	0.0986	10000
64	65	0.00269	0.0302	10000
49	66	0.018	0.0919	10000
49	66	0.018	0.0919	10000
62	66	0.0482	0.218	10000
62	67	0.0258	0.117	10000
65	66	0	0.037	10000
66	67	0.0224	0.1015	10000
65	68	0.00138	0.016	10000
47	69	0.0844	0.2778	10000
49	69	0.0985	0.324	10000
